,HIGHDEG,INSTNM,CITY,STABBR,LATITUDE,LONGITUDE,LOCALE,UGDS,ADM_RATE,C150_4,SAT_AVG,UGDS_BLACK,UGDS_WHITE,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,RELAFFIL,COSTT4_A,PCTPELL,PCTFLOAN
1,4,Alabama A & M University,Normal,AL,34.783368,-86.568502,12,4206,0.5256,0.3525,827,0.9353,0.0333,0.0055,0.0019,0.0024,-2,21475,0.7356,0.8284
2,4,University of Alabama at Birmingham,Birmingham,AL,33.50223,-86.80917,12,11383,0.8569,0.5554,1107,0.26,0.5922,0.0283,0.0518,0.0022,-2,20621,0.346,0.5214
3,4,Amridge University,Montgomery,AL,32.362609,-86.17401,12,291,""" """,0.2222,""" """,0.4192,0.299,0.0069,0.0034,0,74,16370,0.6801,0.7795
4,4,University of Alabama in Huntsville,Huntsville,AL,34.722818,-86.63842,12,5451,0.8203,0.4614,1219,0.1255,0.6988,0.0382,0.0376,0.0143,-2,21107,0.3072,0.4596
5,4,Alabama State University,Montgomery,AL,32.364317,-86.295677,12,4811,0.5326,0.2632,851,0.9208,0.0158,0.0121,0.0019,0.001,-2,18184,0.7347,0.7554
6,4,The University of Alabama,Tuscaloosa,AL,33.2144,-87.545766,13,29851,0.5105,0.6566,1185,0.1119,0.7825,0.0348,0.0106,0.0038,-2,26400,0.204,0.401
7,3,Athens State University,Athens,AL,34.805625,-86.96514,31,2991,""" """,""" """,""" """,0.12,0.7823,0.0191,0.0053,0.0157,-2,""" """,0.4088,0.6296
8,4,Auburn University at Montgomery,Montgomery,AL,32.369939,-86.177351,12,4304,0.8017,0.2194,1009,0.3376,0.5328,0.0074,0.0221,0.0044,-2,17903,0.4192,0.5803
9,4,Auburn University,Auburn,AL,32.604685,-85.482782,13,20514,0.8347,0.7086,1215,0.0704,0.8507,0.0248,0.0227,0.0074,-2,25282,0.161,0.3494
10,3,Birmingham Southern College,Birmingham,AL,33.515453,-86.853636,12,1180,0.5339,0.6422,1181,0.1102,0.7983,0.0195,0.0517,0.0102,71,45162,0.192,0.4809
11,3,Concordia College Alabama,Selma,AL,32.42443,-87.023531,32,322,0.5328,0.25,942,0.8758,0.028,0.0373,0.0093,0,68,17603,0.8667,0.9333
12,4,South University-Montgomery,Montgomery,AL,32.342684,-86.216488,12,522,""" """,0.093,""" """,0.6054,0.3046,0.0153,0.0153,0.0153,-2,27870,0.6845,0.7129
13,4,Faulkner University,Montgomery,AL,32.384181,-86.21641,12,2367,""" """,0.3073,""" """,0.5137,0.3874,0.0258,0.0042,0.0063,74,30116,0.5812,0.7253
14,4,Herzing University-Birmingham,Birmingham,AL,33.468105,-86.832299,21,302,1,0.4,""" """,0.5265,0.3543,0.0166,0.0066,0,-2,26200,0.6541,0.7736
15,3,Huntingdon College,Montgomery,AL,32.350939,-86.285313,12,1149,0.5839,0.4506,1026,0.1993,0.6388,0.0252,0.0078,0.0122,71,32370,0.3982,0.7153
16,4,Heritage Christian University,Florence,AL,34.859089,-87.662062,13,62,1,0.5,""" """,0.1129,0.7419,0.0484,0,0.0323,74,18631,0.6087,0.4493
17,4,Jacksonville State University,Jacksonville,AL,33.822128,-85.766644,13,7060,0.8326,0.3009,1041,0.2382,0.6834,0.0132,0.0055,0.0072,-2,20830,0.4428,0.6825
18,3,Judson College,Marion,AL,32.630526,-87.316127,43,376,0.6525,0.4316,""" """,0.1622,0.7553,0.016,0.0106,0.0053,54,28840,0.4784,0.7205
19,4,University of West Alabama,Livingston,AL,32.59244,-88.186077,43,1916,0.7199,0.329,990,0.4055,0.4421,0.0224,0.0016,0.0016,-2,17839,0.5323,0.6733
20,3,Miles College,Fairfield,AL,33.481306,-86.908605,21,1778,""" """,0.2017,""" """,0.9719,0.0169,0.0028,0,0,55,22436,0.8452,0.9244
21,4,University of Mobile,Mobile,AL,30.793247,-88.128934,41,1460,0.5847,0.4106,1014,0.211,0.6479,0.0158,0.0048,0.0178,75,31220,0.4909,0.7576
22,4,University of Montevallo,Montevallo,AL,33.10625,-86.865099,21,2644,0.743,0.4438,1070,0.1384,0.7266,0.031,0.0064,0.0061,-2,22440,0.3972,0.5856
23,4,University of North Alabama,Florence,AL,34.80658,-87.680999,13,5485,0.6788,0.3887,1029,0.1384,0.7123,0.0272,0.0047,0.0093,-2,15494,0.4051,0.6733
24,4,Oakwood University,Huntsville,AL,34.756628,-86.661628,12,1878,0.4787,0.4371,928,0.8514,0.0059,0.0234,0.0016,0.0059,95,36064,0.5062,0.7271
25,4,Samford University,Birmingham,AL,33.464578,-86.790932,21,3033,0.5954,0.661,1165,0.0656,0.8183,0.06,0.0092,0.002,54,40900,0.1391,0.3385
26,4,Selma University,Selma,AL,32.420358,-87.033826,32,472,""" """,0.2147,""" """,0.9703,0.0106,0,0,0,54,12621,0.8247,0.8935
27,4,University of South Alabama,Mobile,AL,30.695081,-88.18189,12,11267,0.8335,0.3824,1048,0.2374,0.6149,0.0276,0.0345,0.0065,-2,18525,0.3906,0.5729
28,4,Spring Hill College,Mobile,AL,30.694751,-88.138199,12,1215,0.5177,0.5814,1116,0.1556,0.6733,0.0626,0.0107,0.0074,30,44970,0.2307,0.6873
29,3,Southeastern Bible College,Birmingham,AL,33.378935,-86.749045,21,170,1,0.1765,930,0.3118,0.6176,0.0176,0.0059,0.0059,-2,17066,0.6398,0.7702
30,3,Stillman College,Tuscaloosa,AL,33.199228,-87.585242,13,1056,0.5901,0.2036,811,0.9034,0.0748,0.017,0.0019,0,66,26185,0.8436,0.8992
31,3,Talladega College,Talladega,AL,33.434258,-86.113675,32,819,""" """,0.443,""" """,0.8742,0.0647,0.044,0.0024,0,76,20918,0.5747,0.5956
32,4,Troy University,Troy,AL,31.800128,-85.950191,41,15025,0.4414,0.3498,1050,0.3386,0.5132,0.0329,0.0078,0.0082,-2,17354,0.4537,0.6521
