"","HIGHDEG","REGION","INSTNM","CITY","STABBR","LATITUDE","LONGITUDE","LOCALE","UGDS","ADM_RATE","C150_4","SAT_AVG","UGDS_BLACK","UGDS_WHITE","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NRA","RELAFFIL","COSTT4_A","PCTPELL","PCTFLOAN","CCBASIC"
"1",4,1,"Albertus Magnus College","New Haven","CT","41.332519","-72.923848","12","1249","NULL","0.4974","NULL","0.3467","0.4107","0.1529","0.0048","0.0024","0.0088","30","42641","0.442","0.8002","19"
"2",4,1,"University of Bridgeport","Bridgeport","CT","41.165587","-73.189352","12","3021","0.6072","0.295","899","0.376","0.2512","0.1658","0.0288","0.0079","0.148","-2","46680","0.4931","0.7132","18"
"3",4,1,"Central Connecticut State University","New Britain","CT","41.690258","-72.770094","21","9600","0.6044","0.5235","1015","0.1095","0.6649","0.1268","0.0355","0.002","0.0119","-2","20543","0.3464","0.5779","18"
"4",3,1,"Charter Oak State College","New Britain","CT","41.688246","-72.767972","21","1799","NULL","NULL","NULL","0.1784","0.6081","0.1306","0.0133","0.0033","0.0061","-2","NULL","0.288","0.3582","21"
"5",4,1,"Connecticut College","New London","CT","41.379833","-72.107321","13","1875","0.376","0.8296","NULL","0.0325","0.7189","0.0869","0.0347","0","0.0533","-2","60682","0.1436","0.4131","21"
"6",4,1,"University of Connecticut","Storrs","CT","41.806261","-72.247969","21","18016","0.4996","0.809","1246","0.0509","0.6168","0.0848","0.098","0.0012","0.0425","-2","26966","0.2066","0.4978","15"
"7",4,1,"Eastern Connecticut State University","Willimantic","CT","41.721673","-72.218753","31","4793","0.631","0.5626","NULL","0.0661","0.691","0.0916","0.0238","0.0017","0.0115","-2","23717","0.2753","0.6146","20"
"8",4,1,"Fairfield University","Fairfield","CT","41.160732","-73.25778","21","3841","0.7153","0.7996","NULL","0.0247","0.7514","0.0734","0.0187","0.0005","0.0234","30","57966","0.1322","0.5092","18"
"9",4,1,"Rensselaer Hartford Graduate Center Inc","Hartford","CT","41.773462","-72.673916","12","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","-2","NULL","NULL","NULL","19"
"10",4,1,"University of Hartford","West Hartford","CT","41.796485","-72.714965","12","4956","0.7213","0.527","1000","0.1493","0.5819","0.1031","0.0321","0.003","0.0573","-2","47114","0.2769","0.6877","17"
"11",3,1,"Mitchell College","New London","CT","41.328075","-72.095337","13","710","0.7004","0.4624","NULL","0.1493","0.6338","0.1197","0.0169","0.0169","0.0127","-2","44994","0.3661","0.6085","22"
"12",4,1,"University of New Haven","West Haven","CT","41.291314","-72.961472","21","4974","0.8086","0.496","1063","0.0917","0.5927","0.0997","0.0247","0.0032","0.0844","-2","49390","0.2463","0.6887","18"
